podyezd,distance_to_metro_m
349,2061.7119328122553
350,2035.15775944323
351,2003.328203554298
352,2594.9080383134246
353,2555.966753129553
354,2520.1361275483346
355,2512.942615887602
356,2580.1299672141945
357,2573.2903362441016
358,2624.155504625778
359,2623.246316814738
360,2632.30179426502
361,2853.0406423179634
362,2886.0800911274955
363,2928.284676172234
364,2174.4743218958697
365,2029.9799576856738
366,2056.7377766111563
367,2199.4322242394846
368,2226.2023317532385
369,2279.9175889570593
370,2234.3886783352327
371,2148.6903699120267
372,2176.519206527861
373,2224.7535336819383
374,2431.173252217708
375,2432.587210577992
376,2558.1076503159543
377,2506.054284773993
378,2560.7276233390207
379,2642.7663402962767
380,2417.720410699192
381,2708.6983380365227
382,2611.098161201929
383,2673.558923830164
384,2729.7770311659074
385,2722.923328546853
386,2551.6054210682323
387,2529.4306666812513
388,2529.6648740014502
389,2523.8669424686886
390,2350.410703785186
391,2362.217505934206
392,2387.574878556968
393,2389.578196136712
394,2370.9477033606067
395,2362.5231407461465
396,2372.6481788813667
397,2315.067966017479
398,2348.4450731605525
399,1816.3180757305845
400,3095.5221373716868
401,3327.257059861117
402,3424.1053452115166
403,3410.9876026962165
404,3417.002251055483
405,3379.8077097366063
406,3379.2163798986467
407,3377.121587744815
408,3401.1866202171595
409,3310.1807924826153
410,3245.831766961231
411,3263.2239571745213
412,3258.5639133168515
413,3125.705419531362
414,3211.5807676927707
415,3201.0297787395607
416,3257.2276357725045
417,3240.2980452087163
418,1912.802165950415
419,1888.099014476037
420,1891.206470391104
421,1676.3196332366779
422,1660.5833452317563
423,1595.3572677137654
424,1581.7584497231317
425,1754.0745948567715
426,1735.432643680801
427,1760.8644272132458
428,1745.7256459407397
429,1707.0014168040498
430,1654.1991925031607
431,1692.3359212395274
432,1954.204155332594
433,1948.384805804988
434,1967.2003960138081
435,1999.553166200571
436,2004.678003638408
437,2008.4095629477195
438,2014.5960088179106
439,2000.4859691685049
440,2000.579886314187
441,1959.1250894267764
442,2088.6064502638483
443,2055.264040631686
444,1730.9325723488366
445,1746.9128326168602
446,1926.203077363663
447,1993.8695456068592
448,2308.9340454554763
449,2266.240315459565
450,2312.2017420663797
451,2115.9311007368965
452,2118.5275518238514
453,2066.875459622709
454,2047.161013453086
455,2040.8547516943188
456,1978.9821571084274
457,2238.5556745729873
458,2267.9812241022046
459,2299.0951943925966
460,2263.825974190579
461,1980.165754083676
462,2109.145969058676
463,2040.1077722662185
464,2011.3109531014338
465,2104.601468250206
466,2079.0086723321847
467,1961.6938030568278
468,2020.7601046432283
469,1942.5269356758697
470,1759.3426309715567
471,1783.035307895467
472,1885.6744589378693
473,1976.7447630887882
474,1956.6053024937835
475,1888.284538751521
476,1952.4090728145645
477,2817.709670391847
478,2655.083493176321
479,2866.438041576257
480,2804.6422826378453
481,2829.2997338484042
